"","gene","ratio","seed","gof.training","lof.training","gof.val","lof.val","gof.testing","lof.testing"
"1","P15056",1,0,4,3,12,6,11,8
"2","P15056",2,0,9,7,12,6,11,8
"3","P15056",3,0,14,11,12,6,11,8
"4","P15056",4,0,19,15,12,6,11,8
"5","P15056",5,0,24,19,12,6,11,8
"6","P21802",1,0,6,1,14,2,13,4
"7","P21802",2,0,12,3,14,2,13,4
"8","P21802",3,0,18,5,14,2,13,4
"9","P21802",4,0,24,6,14,2,13,4
"10","P21802",5,0,30,8,14,2,13,4
"11","P07949",1,0,5,2,10,6,12,6
"12","P07949",2,0,11,5,10,6,12,6
"13","P07949",3,0,17,7,10,6,12,6
"14","P07949",4,0,22,10,10,6,12,6
"15","P07949",5,0,28,12,10,6,12,6
"16","P04637",1,0,2,18,4,38,5,38
"17","P04637",2,0,4,37,4,38,5,38
"18","P04637",3,0,6,56,4,38,5,38
"19","P04637",4,0,8,74,4,38,5,38
"20","P04637",5,0,10,93,4,38,5,38
"21","Q09428",1,0,2,4,4,9,4,10
"22","Q09428",2,0,4,9,4,9,4,10
"23","Q09428",3,0,6,14,4,9,4,10
"24","Q09428",4,0,8,18,4,9,4,10
"25","Q09428",5,0,10,23,4,9,4,10
"26","O00555",1,0,2,5,6,9,6,10
"27","O00555",2,0,4,10,6,9,6,10
"28","O00555",3,0,7,15,6,9,6,10
"29","O00555",4,0,9,20,6,9,6,10
"30","O00555",5,0,11,25,6,9,6,10
"31","Q14654",1,0,3,2,8,4,7,6
"32","Q14654",2,0,6,5,8,4,7,6
"33","Q14654",3,0,10,8,8,4,7,6
"34","Q14654",4,0,13,10,8,4,7,6
"35","Q14654",5,0,16,13,8,4,7,6
"36","Q99250",1,0,6,2,15,3,15,5
"37","Q99250",2,0,13,4,15,3,15,5
"38","Q99250",3,0,20,7,15,3,15,5
"39","Q99250",4,0,27,9,15,3,15,5
"40","Q99250",5,0,34,11,15,3,15,5
"41","Q14524",1,0,7,9,16,16,16,18
"42","Q14524",2,0,14,18,16,16,16,18
"43","Q14524",3,0,22,27,16,16,16,18
"44","Q14524",4,0,29,36,16,16,16,18
"45","Q14524",5,0,36,45,16,16,16,18
"46","P15056",1,1,4,3,12,6,11,8
"47","P15056",2,1,9,7,12,6,11,8
"48","P15056",3,1,14,11,12,6,11,8
"49","P15056",4,1,19,15,12,6,11,8
"50","P15056",5,1,24,19,12,6,11,8
"51","P21802",1,1,6,1,14,2,13,4
"52","P21802",2,1,12,3,14,2,13,4
"53","P21802",3,1,18,5,14,2,13,4
"54","P21802",4,1,24,6,14,2,13,4
"55","P21802",5,1,30,8,14,2,13,4
"56","P07949",1,1,5,2,10,6,12,6
"57","P07949",2,1,11,5,10,6,12,6
"58","P07949",3,1,17,7,10,6,12,6
"59","P07949",4,1,22,10,10,6,12,6
"60","P07949",5,1,28,12,10,6,12,6
"61","P04637",1,1,2,18,4,38,5,38
"62","P04637",2,1,4,37,4,38,5,38
"63","P04637",3,1,6,56,4,38,5,38
"64","P04637",4,1,8,74,4,38,5,38
"65","P04637",5,1,10,93,4,38,5,38
"66","Q09428",1,1,2,4,4,9,4,10
"67","Q09428",2,1,4,9,4,9,4,10
"68","Q09428",3,1,6,14,4,9,4,10
"69","Q09428",4,1,8,18,4,9,4,10
"70","Q09428",5,1,10,23,4,9,4,10
"71","O00555",1,1,2,5,6,9,6,10
"72","O00555",2,1,4,10,6,9,6,10
"73","O00555",3,1,7,15,6,9,6,10
"74","O00555",4,1,9,20,6,9,6,10
"75","O00555",5,1,11,25,6,9,6,10
"76","Q14654",1,1,3,2,8,4,7,6
"77","Q14654",2,1,6,5,8,4,7,6
"78","Q14654",3,1,10,8,8,4,7,6
"79","Q14654",4,1,13,10,8,4,7,6
"80","Q14654",5,1,16,13,8,4,7,6
"81","Q99250",1,1,6,2,15,3,15,5
"82","Q99250",2,1,13,4,15,3,15,5
"83","Q99250",3,1,20,7,15,3,15,5
"84","Q99250",4,1,27,9,15,3,15,5
"85","Q99250",5,1,34,11,15,3,15,5
"86","Q14524",1,1,7,9,16,16,16,18
"87","Q14524",2,1,14,18,16,16,16,18
"88","Q14524",3,1,22,27,16,16,16,18
"89","Q14524",4,1,29,36,16,16,16,18
"90","Q14524",5,1,36,45,16,16,16,18
"91","P15056",1,2,4,3,12,6,11,8
"92","P15056",2,2,9,7,12,6,11,8
"93","P15056",3,2,14,11,12,6,11,8
"94","P15056",4,2,19,15,12,6,11,8
"95","P15056",5,2,24,19,12,6,11,8
"96","P21802",1,2,6,1,14,2,13,4
"97","P21802",2,2,12,3,14,2,13,4
"98","P21802",3,2,18,5,14,2,13,4
"99","P21802",4,2,24,6,14,2,13,4
"100","P21802",5,2,30,8,14,2,13,4
"101","P07949",1,2,5,2,10,6,12,6
"102","P07949",2,2,11,5,10,6,12,6
"103","P07949",3,2,17,7,10,6,12,6
"104","P07949",4,2,22,10,10,6,12,6
"105","P07949",5,2,28,12,10,6,12,6
"106","P04637",1,2,2,18,4,38,5,38
"107","P04637",2,2,4,37,4,38,5,38
"108","P04637",3,2,6,56,4,38,5,38
"109","P04637",4,2,8,74,4,38,5,38
"110","P04637",5,2,10,93,4,38,5,38
"111","Q09428",1,2,2,4,4,9,4,10
"112","Q09428",2,2,4,9,4,9,4,10
"113","Q09428",3,2,6,14,4,9,4,10
"114","Q09428",4,2,8,18,4,9,4,10
"115","Q09428",5,2,10,23,4,9,4,10
"116","O00555",1,2,2,5,6,9,6,10
"117","O00555",2,2,4,10,6,9,6,10
"118","O00555",3,2,7,15,6,9,6,10
"119","O00555",4,2,9,20,6,9,6,10
"120","O00555",5,2,11,25,6,9,6,10
"121","Q14654",1,2,3,2,8,4,7,6
"122","Q14654",2,2,6,5,8,4,7,6
"123","Q14654",3,2,10,8,8,4,7,6
"124","Q14654",4,2,13,10,8,4,7,6
"125","Q14654",5,2,16,13,8,4,7,6
"126","Q99250",1,2,6,2,15,3,15,5
"127","Q99250",2,2,13,4,15,3,15,5
"128","Q99250",3,2,20,7,15,3,15,5
"129","Q99250",4,2,27,9,15,3,15,5
"130","Q99250",5,2,34,11,15,3,15,5
"131","Q14524",1,2,7,9,16,16,16,18
"132","Q14524",2,2,14,18,16,16,16,18
"133","Q14524",3,2,22,27,16,16,16,18
"134","Q14524",4,2,29,36,16,16,16,18
"135","Q14524",5,2,36,45,16,16,16,18
"136","P15056",1,3,4,3,12,6,11,8
"137","P15056",2,3,9,7,12,6,11,8
"138","P15056",3,3,14,11,12,6,11,8
"139","P15056",4,3,19,15,12,6,11,8
"140","P15056",5,3,24,19,12,6,11,8
"141","P21802",1,3,6,1,14,2,13,4
"142","P21802",2,3,12,3,14,2,13,4
"143","P21802",3,3,18,5,14,2,13,4
"144","P21802",4,3,24,6,14,2,13,4
"145","P21802",5,3,30,8,14,2,13,4
"146","P07949",1,3,5,2,10,6,12,6
"147","P07949",2,3,11,5,10,6,12,6
"148","P07949",3,3,17,7,10,6,12,6
"149","P07949",4,3,22,10,10,6,12,6
"150","P07949",5,3,28,12,10,6,12,6
"151","P04637",1,3,2,18,4,38,5,38
"152","P04637",2,3,4,37,4,38,5,38
"153","P04637",3,3,6,56,4,38,5,38
"154","P04637",4,3,8,74,4,38,5,38
"155","P04637",5,3,10,93,4,38,5,38
"156","Q09428",1,3,2,4,4,9,4,10
"157","Q09428",2,3,4,9,4,9,4,10
"158","Q09428",3,3,6,14,4,9,4,10
"159","Q09428",4,3,8,18,4,9,4,10
"160","Q09428",5,3,10,23,4,9,4,10
"161","O00555",1,3,2,5,6,9,6,10
"162","O00555",2,3,4,10,6,9,6,10
"163","O00555",3,3,7,15,6,9,6,10
"164","O00555",4,3,9,20,6,9,6,10
"165","O00555",5,3,11,25,6,9,6,10
"166","Q14654",1,3,3,2,8,4,7,6
"167","Q14654",2,3,6,5,8,4,7,6
"168","Q14654",3,3,10,8,8,4,7,6
"169","Q14654",4,3,13,10,8,4,7,6
"170","Q14654",5,3,16,13,8,4,7,6
"171","Q99250",1,3,6,2,15,3,15,5
"172","Q99250",2,3,13,4,15,3,15,5
"173","Q99250",3,3,20,7,15,3,15,5
"174","Q99250",4,3,27,9,15,3,15,5
"175","Q99250",5,3,34,11,15,3,15,5
"176","Q14524",1,3,7,9,16,16,16,18
"177","Q14524",2,3,14,18,16,16,16,18
"178","Q14524",3,3,22,27,16,16,16,18
"179","Q14524",4,3,29,36,16,16,16,18
"180","Q14524",5,3,36,45,16,16,16,18
"181","P15056",1,4,4,3,12,6,11,8
"182","P15056",2,4,9,7,12,6,11,8
"183","P15056",3,4,14,11,12,6,11,8
"184","P15056",4,4,19,15,12,6,11,8
"185","P15056",5,4,24,19,12,6,11,8
"186","P21802",1,4,6,1,14,2,13,4
"187","P21802",2,4,12,3,14,2,13,4
"188","P21802",3,4,18,5,14,2,13,4
"189","P21802",4,4,24,6,14,2,13,4
"190","P21802",5,4,30,8,14,2,13,4
"191","P07949",1,4,5,2,10,6,12,6
"192","P07949",2,4,11,5,10,6,12,6
"193","P07949",3,4,17,7,10,6,12,6
"194","P07949",4,4,22,10,10,6,12,6
"195","P07949",5,4,28,12,10,6,12,6
"196","P04637",1,4,2,18,4,38,5,38
"197","P04637",2,4,4,37,4,38,5,38
"198","P04637",3,4,6,56,4,38,5,38
"199","P04637",4,4,8,74,4,38,5,38
"200","P04637",5,4,10,93,4,38,5,38
"201","Q09428",1,4,2,4,4,9,4,10
"202","Q09428",2,4,4,9,4,9,4,10
"203","Q09428",3,4,6,14,4,9,4,10
"204","Q09428",4,4,8,18,4,9,4,10
"205","Q09428",5,4,10,23,4,9,4,10
"206","O00555",1,4,2,5,6,9,6,10
"207","O00555",2,4,4,10,6,9,6,10
