"","task","seed","min.val.auc","end.auc","max.auc"
"1","PF_IPR000719",0,0.709338280766852,0.727272727272727,0.727272727272727
"2","PF_IPR000719",1,0.813234384662956,0.815089672232529,0.815089672232529
"3","PF_IPR000719",2,0.705009276437848,0.70995670995671,0.70995670995671
"4","PF07714",0,0.828523277859701,0.829576574678744,0.829576574678744
"5","PF07714",1,0.808089319570255,0.808089319570255,0.808089319570255
"6","PF07714",2,0.823046134400674,0.82536338740257,0.82536338740257
"7","PF00047",0,0.8,0.8,0.809090909090909
"8","PF00047",1,0.790909090909091,0.790909090909091,0.790909090909091
"9","PF00047",2,0.668181818181818,0.822727272727273,0.831818181818182
"10","PF00520",0,0.79504132231405,0.798898071625344,0.802754820936639
"11","PF00520",1,0.842424242424242,0.84297520661157,0.84297520661157
"12","PF00520",2,0.815977961432507,0.816528925619835,0.816528925619835
"13","PF07679",0,0.853128991060026,0.853128991060026,0.853128991060026
"14","PF07679",1,0.862068965517241,0.862068965517241,0.863346104725415
"15","PF07679",2,0.856960408684547,0.856960408684547,0.864623243933589
"16","PF00069",0,0.96577380952381,0.96577380952381,0.96577380952381
"17","PF00069",1,0.973214285714286,0.976190476190476,0.976190476190476
"18","PF00069",2,0.970238095238095,0.97172619047619,0.97172619047619
"19","PF06512",0,0.729591836734694,0.729591836734694,0.739795918367347
"20","PF06512",1,0.719387755102041,0.719387755102041,0.719387755102041
"21","PF06512",2,0.627551020408163,0.627551020408163,0.627551020408163
"22","PF00454",0,1,1,1
"23","PF00454",1,1,1,1
"24","PF00454",2,1,1,1
"25","PF00028",0,0.916666666666667,0.912698412698413,0.968253968253968
"26","PF00028",1,0.880952380952381,0.880952380952381,0.908730158730159
"27","PF00028",2,0.928571428571429,0.928571428571429,0.94047619047619
"28","PF11933",0,0.564935064935065,0.564935064935065,0.584415584415584
"29","PF11933",1,0.597402597402597,0.597402597402597,0.597402597402597
"30","PF11933",2,0.558441558441558,0.564935064935065,0.61038961038961
