"","task","seed","min.val.auc","end.auc","max.auc"
"1","IonChannel",0,0.946999840840363,0.941747572815534,0.947159000477479
"2","IonChannel",1,0.945726563743435,0.945249084832087,0.948591437211523
"3","IonChannel",2,0.875059684863918,0.875059684863918,0.875059684863918
"4","PF_IPR000719",0,0.818800247371676,0.825602968460111,0.833024118738404
"5","PF_IPR000719",1,0.818800247371676,0.821273964131107,0.821273964131107
"6","PF_IPR000719",2,0.801484230055659,0.802102659245516,0.802721088435374
"7","PF07714",0,0.776069096271329,0.788076680008426,0.788076680008426
"8","PF07714",1,0.777333052454182,0.797767010743628,0.797767010743628
"9","PF07714",2,0.814830419212134,0.815251737939751,0.816515694122604
"10","PF00047",0,0.740909090909091,0.745454545454545,0.754545454545455
"11","PF00047",1,0.740909090909091,0.736363636363636,0.768181818181818
"12","PF00047",2,0.831818181818182,0.836363636363636,0.85
"13","PF00520",0,0.88099173553719,0.884297520661157,0.88595041322314
"14","PF00520",1,0.826446280991736,0.829201101928375,0.829752066115703
"15","PF00520",2,0.847382920110193,0.847382920110193,0.861157024793388
"16","PF07679",0,0.900383141762452,0.899106002554278,0.901660280970626
"17","PF07679",1,0.9029374201788,0.904214559386973,0.904214559386973
"18","PF07679",2,0.859514687100894,0.859514687100894,0.862068965517241
"19","PF00069",0,0.986607142857143,0.986607142857143,0.988095238095238
"20","PF00069",1,0.992559523809524,0.992559523809524,0.992559523809524
"21","PF00069",2,0.994047619047619,0.994047619047619,0.994047619047619
"22","PF06512",0,0.704081632653061,0.698979591836735,0.704081632653061
"23","PF06512",1,0.714285714285714,0.709183673469388,0.73469387755102
"24","PF06512",2,0.744897959183674,0.770408163265306,0.816326530612245
"25","PF00454",0,1,1,1
"26","PF00454",1,1,1,1
"27","PF00454",2,1,1,1
"28","PF00028",0,0.936507936507937,0.880952380952381,0.936507936507937
"29","PF00028",1,0.912698412698413,0.908730158730159,0.936507936507937
"30","PF00028",2,0.904761904761905,0.904761904761905,0.920634920634921
"31","PF11933",0,0.545454545454545,0.571428571428571,0.62987012987013
"32","PF11933",1,0.506493506493507,0.525974025974026,0.62987012987013
"33","PF11933",2,0.688311688311688,0.688311688311688,0.74025974025974
