"","task","seed","min.val.R.R2s.1","min.val.R.R2s.2","end.R.R2s.1","end.R.R2s.2","max.R.R2s.1","max.R.R2s.2","min.val.R.R2s.3","end.R.R2s.3","max.R.R2s.3"
"result$R2734","PTEN",0,0.566684469771766,0.539886925929782,0.568014443585574,0.540057833259106,0.56796996476424,0.540406779909507,NA,NA,NA
"result$R2792","PTEN",1,0.553239685527539,0.571549545956009,0.554627822622949,0.57193110131305,0.554627822622949,0.57193110131305,NA,NA,NA
"result$R2682","PTEN",2,0.543285062359655,0.55053908275975,0.54821397562769,0.553366204290546,0.54821397562769,0.553366204290546,NA,NA,NA
"result$R2252","NUDT15",0,0.685308033843889,0.617528119966299,0.687208717382731,0.618735782526965,0.687208717382731,0.618735782526965,NA,NA,NA
"result$R2272","NUDT15",1,0.675331360682483,0.643719899295532,0.676723427199924,0.644743747258661,0.676723427199924,0.644743747258661,NA,NA,NA
"result$R2241","NUDT15",2,0.724015053020721,0.614420494194746,0.725923725651442,0.616999726668283,0.726434110750554,0.616880872555518,NA,NA,NA
"result$R21319","CCR5",0,0.412989029977779,0.437336654722731,0.413106496951963,0.43738081994394,0.41337551643925,0.437575775556088,0.440615213892612,0.440602229008578,0.440767362278337
"result$R21298","CCR5",1,0.429029483429404,0.484873196394183,0.429490050737603,0.485073352320688,0.429571320980754,0.485204454278669,0.449163365823884,0.449664270967184,0.449658733532089
"result$R21311","CCR5",2,0.422223311266456,0.483327927263133,0.422567398120967,0.483509496880918,0.422591190051838,0.484207034520033,0.443184455372302,0.44340142117462,0.443618071316386
"result$R21304","CXCR4",0,0.375123341048047,0.318591401557574,0.375950400558864,0.320409885229404,0.376232772096365,0.320831617540055,0.18711789193882,0.188793377474636,0.18843898033393
"result$R21341","CXCR4",1,0.347263435876522,0.328455041686625,0.347029037082895,0.328761093324642,0.347436718498684,0.328945739937684,0.204047622379061,0.204279357743267,0.204595403269098
"result$R21313","CXCR4",2,0.367173019216831,0.347049620084158,0.368271331262813,0.347801290300068,0.368271331262813,0.347801290300068,0.163695348635683,0.16420018205617,0.16420018205617
"result$R264","VKORC1",0,0.283527611440664,0.59585498346717,0.286387411372795,0.595473153834042,0.285704444699396,0.597586994174146,NA,NA,NA
"result$R211","VKORC1",1,0.187268674564711,0.609860651865848,0.215598998186942,0.671905999055267,0.231852424091651,0.670606991025035,NA,NA,NA
"result$R239","VKORC1",2,0.357728889789846,0.635895921902063,0.340849575118159,0.658553771059676,0.414202557685683,0.60544008817509,NA,NA,NA
