"","task","subset","seed","min.val.R.R2s.1","min.val.R.R2s.2","end.R.R2s.1","end.R.R2s.2","max.R.R2s.1","max.R.R2s.2","min.val.R.R2s.3","end.R.R2s.3","max.R.R2s.3","end.R","max.R"
"result$R248","PTEN",10,0,0.485289094973819,0.458258266277675,0.485289094973819,0.458258266277675,0.490613529896813,0.466371421640196,NA,NA,NA,NA,NA
"result$R213...2","PTEN",10,1,0.40515572300783,0.49390172843448,0.525162113272401,0.501877441013327,0.525162113272401,0.501877441013327,NA,NA,NA,NA,NA
"result$R25","PTEN",10,2,0.347502413714063,0.438409734774312,0.441487626800611,0.510389987914003,0.453372526625275,0.503168145468619,NA,NA,NA,NA,NA
"result$R215...4","PTEN",20,0,0.474089610561004,0.456365832577337,0.472873326896762,0.490880976428463,0.481167067223097,0.489212375637987,NA,NA,NA,NA,NA
"result$R237","PTEN",20,1,0.537654311493645,0.509722458292872,0.556925920560279,0.512646909805031,0.557754248682504,0.512809370375427,NA,NA,NA,NA,NA
"result$R236","PTEN",20,2,0.51050781765519,0.518585923994711,0.5067811225234,0.524063951044421,0.509899923892346,0.52193096456486,NA,NA,NA,NA,NA
"result$R2171","PTEN",40,0,0.571881918031957,0.522810729857089,0.57291145514461,0.523071152985509,0.572959903074372,0.523050761690828,NA,NA,NA,NA,NA
"result$R2189...8","PTEN",40,1,0.581194934822278,0.556812680388615,0.580625541411197,0.557007799279506,0.581354964312754,0.556920975032081,NA,NA,NA,NA,NA
"result$R282","PTEN",40,2,0.518101565515592,0.544059686857561,0.524579969100491,0.546575481444018,0.525269725724685,0.546374780994363,NA,NA,NA,NA,NA
"result$R2275","PTEN",60,0,0.582886618448614,0.530424323306855,0.583104026362818,0.529962988869894,0.582580873064936,0.531776908643632,NA,NA,NA,NA,NA
"result$R2203","PTEN",60,1,0.55997853704617,0.565630154046247,0.564006189824595,0.566884032617166,0.56432877911217,0.567139705218904,NA,NA,NA,NA,NA
