"","task","seed","min.val.auc","end.auc","max.auc"
"1","IonChannel",0,0.949068916122871,0.94429412700939,0.950501352856916
"2","IonChannel",1,0.953843705236352,0.954798663059048,0.958141015438485
"3","IonChannel",2,0.939837657170142,0.940792614992838,0.941429253541302
"4","PF_IPR000719",0,0.825602968460111,0.82312925170068,0.869511440940012
"5","PF_IPR000719",1,0.837971552257266,0.838589981447124,0.841682127396413
"6","PF_IPR000719",2,0.810142238713667,0.818181818181818,0.818181818181818
"7","PF07714",0,0.837581630503476,0.845586686328207,0.845586686328207
"8","PF07714",1,0.841373499052033,0.840952180324415,0.841373499052033
"9","PF07714",2,0.817568990941647,0.832736465135875,0.832736465135875
"10","PF00047",0,0.754545454545455,0.704545454545455,0.754545454545455
"11","PF00047",1,0.754545454545455,0.75,0.786363636363636
"12","PF00047",2,0.763636363636364,0.745454545454545,0.768181818181818
"13","PF00520",0,0.815977961432507,0.822038567493113,0.824242424242424
"14","PF00520",1,0.818181818181818,0.821487603305785,0.82534435261708
"15","PF00520",2,0.883195592286501,0.883746556473829,0.883746556473829
"16","PF07679",0,0.872286079182631,0.872286079182631,0.886334610472541
"17","PF07679",1,0.863346104725415,0.86845466155811,0.86845466155811
"18","PF07679",2,0.914431673052363,0.910600255427842,0.914431673052363
"19","PF00069",0,0.988372093023256,0.988372093023256,0.988372093023256
"20","PF00069",1,0.982558139534884,0.982558139534884,0.982558139534884
"21","PF00069",2,0.98546511627907,0.98546511627907,0.98546511627907
"22","PF06512",0,0.63265306122449,0.63265306122449,0.647959183673469
"23","PF06512",1,0.698979591836735,0.698979591836735,0.709183673469388
"24","PF06512",2,0.75,0.75,0.857142857142857
"25","PF00454",0,1,1,1
"26","PF00454",1,1,1,1
"27","PF00454",2,1,1,1
"28","PF00028",0,0.861111111111111,0.956349206349206,0.956349206349206
"29","PF00028",1,0.936507936507937,0.936507936507937,0.94047619047619
"30","PF00028",2,0.742063492063492,0.928571428571429,0.928571428571429
"31","PF11933",0,0.590909090909091,0.603896103896104,0.642857142857143
"32","PF11933",1,0.662337662337662,0.655844155844156,0.662337662337662
"33","PF11933",2,0.681818181818182,0.681818181818182,0.688311688311688
