"","task","seed","min.val.auc","end.auc","max.auc"
"1","IonChannel",0,0.535413019258316,0.535413019258316,0.555467133534936
"2","IonChannel",1,0.541301925831609,0.541301925831609,0.562470157568041
"3","IonChannel",2,0.505968486391851,0.516950501352857,0.516950501352857
"4","PF_IPR000719",0,0.521335807050093,0.521335807050093,0.552257266542981
"5","PF_IPR000719",1,0.584415584415584,0.584415584415584,0.584415584415584
"6","PF_IPR000719",2,0.508967223252938,0.508967223252938,0.541743970315399
"7","PF07714",0,0.531072256161786,0.531493574889404,0.531493574889404
"8","PF07714",1,0.602275121129134,0.602275121129134,0.604803033494839
"9","PF07714",2,0.594902043395829,0.594902043395829,0.594902043395829
"10","PF00047",0,0.554545454545455,0.554545454545455,0.590909090909091
"11","PF00047",1,0.545454545454545,0.545454545454545,0.545454545454545
"12","PF00047",2,0.613636363636364,0.613636363636364,0.636363636363636
"13","PF00520",0,0.554820936639118,0.554820936639118,0.554820936639118
"14","PF00520",1,0.54435261707989,0.54435261707989,0.54435261707989
"15","PF00520",2,0.560330578512397,0.560330578512397,0.560330578512397
"16","PF07679",0,0.577266922094508,0.577266922094508,0.577266922094508
"17","PF07679",1,0.538952745849298,0.538952745849298,0.538952745849298
"18","PF07679",2,0.508301404853129,0.508301404853129,0.508301404853129
"19","PF00069",0,0.543154761904762,0.543154761904762,0.543154761904762
"20","PF00069",1,0.574404761904762,0.574404761904762,0.574404761904762
"21","PF00069",2,0.599702380952381,0.599702380952381,0.644345238095238
"22","PF06512",0,0.647959183673469,0.647959183673469,0.647959183673469
"23","PF06512",1,0.668367346938776,0.668367346938776,0.668367346938776
"24","PF06512",2,0.545918367346939,0.551020408163265,0.561224489795918
"25","PF00454",0,0.986842105263158,0.986842105263158,0.986842105263158
"26","PF00454",1,1,1,1
"27","PF00454",2,0.526315789473684,0.526315789473684,0.95
"28","PF00028",0,0.543650793650794,0.543650793650794,0.611111111111111
"29","PF00028",1,0.757936507936508,0.757936507936508,0.757936507936508
"30","PF00028",2,0.563492063492063,0.563492063492063,0.599206349206349
"31","PF11933",0,0.571428571428571,0.571428571428571,0.571428571428571
"32","PF11933",1,0.5,0.5,0.525974025974026
"33","PF11933",2,0.675324675324675,0.551948051948052,0.675324675324675
