"","task","seed","min.val.R.R2s.1","min.val.R.R2s.2","end.R.R2s.1","end.R.R2s.2","max.R.R2s.1","max.R.R2s.2","min.val.R.R2s.3","end.R.R2s.3","max.R.R2s.3"
"result$R2397...1","PTEN",0,-0.0914549808837815,0.425080004978006,-0.0914549808837815,0.425080004978006,0.0414610089672082,0.345722506393505,NA,NA,NA
"result$R2397...2","PTEN",1,-0.188581892133525,0.407938889175168,-0.188581892133525,0.407938889175168,-0.188567678933409,0.407993117119417,NA,NA,NA
"result$R2397...3","PTEN",2,-0.223601859522361,0.426446618632475,-0.223601859522361,0.426446618632475,-0.223646608446461,0.426587918893427,NA,NA,NA
"result$R2287...4","NUDT15",0,0.379988647631411,0.161010455101893,0.379988647631411,0.161010455101893,0.37917114088554,0.163856863762802,NA,NA,NA
"result$R2287...5","NUDT15",1,0.200625414925274,0.081751787821245,0.200625414925274,0.081751787821245,0.199328729640892,0.0853589282882087,NA,NA,NA
"result$R2287...6","NUDT15",2,0.192807797000184,0.414277895453172,0.192807797000184,0.414277895453172,0.191242884489828,0.416421394997597,NA,NA,NA
"result$R2661","CCR5",0,0.160485128545176,-0.201446104700703,0.160515977268675,-0.201457497776241,0.160515977268675,-0.201457497776241,0.108384067305297,0.108394147042223,0.108394147042223
"result$R2230","CCR5",1,0.117363246287252,-0.0292311436320496,0.117363246287252,-0.0292311436320496,0.117363246287252,-0.0292311436320496,0.17541967339332,0.17541967339332,0.17541967339332
"result$R2414","CCR5",2,0.245622153642158,0.131664169744675,0.245622153642158,0.131664169744675,0.245622153642158,0.131664169744675,-0.0765780673551658,-0.0765780673551658,-0.0765780673551658
"result$R2672","CXCR4",0,0.106370759187257,0.0536196447665152,0.106370759187257,0.0536196447665152,0.106369688048555,0.0536406865226187,0.0763457347219132,0.0763457347219132,0.0763466471494338
"result$R2147","CXCR4",1,0.0862575342423736,-0.019198670038322,0.0862575342423736,-0.019198670038322,0.0862575342423736,-0.019198670038322,0.0619566965050235,0.0619566965050235,0.0619566965050235
"result$R2428","CXCR4",2,0.0744411838644617,-0.00181093808582255,0.0744411838644617,-0.00181093808582255,0.0744411838644617,-0.00181093808582255,-0.0597431636009908,-0.0597431636009908,-0.0597431636009908
"result$R273...13","VKORC1",0,0.0960601483053094,-0.163214454416627,0.0960601483053094,-0.163214454416627,0.127352618450499,-0.0894819713430956,NA,NA,NA
"result$R273...14","VKORC1",1,-0.0412732309544388,-0.0133758463234136,-0.0412732309544388,-0.0133758463234136,-0.00108841662936598,0.0687490159030074,NA,NA,NA
"result$R273...15","VKORC1",2,-0.0550782114939921,0.205030703826169,-0.0550782114939921,0.205030703826169,-0.0111026369010009,0.221957172098882,NA,NA,NA
