"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"1","IonChannel.chps.even.uniprotID: (33/33)",0,0.561504423618317,0.536860823631287,0.593571245670319,0.753902662993572,5,0.805325987144169,0.823691460055096,19,0.5
"2","IonChannel.chps.even.uniprotID: (33/33)",1,0.660411298274994,0.52592009305954,0.653233289718628,0.679522497704316,5,0.820936639118457,0.820936639118457,19,0.5
"3","IonChannel.chps.even.uniprotID: (33/33)",2,0.547501623630524,0.368879228830338,0.59223872423172,0.81267217630854,8,0.811753902662994,0.858585858585859,7,0.5
"4","IonChannel.chps.even.uniprotID: (33/33)",3,0.521863281726837,0.574407994747162,0.599924981594086,0.808999081726354,5,0.893480257116621,0.912764003673095,14,0.5
"5","IonChannel.chps.even.uniprotID: (33/33)",4,0.677601099014282,0.553941011428833,0.560789704322815,0.806244260789715,4,0.817263544536272,0.869605142332415,10,0.5
"6","IonChannel.split.uniprotID: (192/82)",0,0.680889129638672,0.644262254238129,0.776177823543549,0.800876524390244,8,0.824504573170732,0.832126524390244,12,0.5
"7","IonChannel.split.uniprotID: (192/82)",1,0.664906442165375,0.83453756570816,0.765535593032837,0.801702235772358,4,0.810149898373984,0.810149898373984,23,0.5
"8","IonChannel.split.uniprotID: (192/82)",2,0.70111083984375,0.453651696443558,0.864151895046234,0.775787601626016,10,0.76537093495935,0.775787601626016,10,0.5
"9","IonChannel.split.uniprotID: (192/82)",3,0.688165247440338,0.123054057359695,1.01184833049774,0.78150406504065,13,0.753048780487805,0.784933943089431,17,0.5
"10","IonChannel.split.uniprotID: (192/82)",4,0.636414229869843,0.543662965297699,0.851843953132629,0.745871443089431,8,0.748094512195122,0.769563008130081,4,0.5
"11","IonChannel: (106/71)",0,0.555517375469208,0.521029233932495,0.685704827308655,0.813250517598344,5,0.808833678398896,0.827467218771567,9,0.5
"12","IonChannel: (106/71)",1,0.497645169496536,0.479858070611954,0.595400631427765,0.853359425962166,7,0.860013046314416,0.866405740378343,14,0.5
"13","IonChannel: (106/71)",2,0.615978896617889,0.51142156124115,0.682550370693207,0.78025641025641,5,0.788846153846154,0.803717948717949,12,0.5
"14","IonChannel: (106/71)",3,0.467438668012619,0.457299590110779,0.633805930614471,0.843350813500067,8,0.826005109587199,0.849670566088477,15,0.5
"15","IonChannel: (106/71)",4,0.609165668487549,0.403094917535782,0.618735253810883,0.841282051282051,8,0.84,0.865,5,0.5
"16","PF07714.even.uniprotID: (49/49)",0,0.349519699811935,0.240314602851868,0.563353538513184,0.828703703703704,5,0.799382716049383,0.839506172839506,11,0.5
"17","PF07714.even.uniprotID: (49/49)",1,0.332179009914398,0.251933217048645,0.548450291156769,0.792169929196168,5,0.721782590587255,0.792169929196168,5,0.5
"18","PF07714.even.uniprotID: (49/49)",2,0.364361822605133,0.288953274488449,0.65535032749176,0.748854643898376,4,0.720949604331529,0.778425655976676,6,0.5
"19","PF07714.even.uniprotID: (49/49)",3,0.404741913080215,0.278234571218491,0.651402056217194,0.698458975426905,4,0.746772178259059,0.781757600999583,6,0.5
"20","PF07714.even.uniprotID: (49/49)",4,0.302123606204987,0.206626161932945,0.693602502346039,0.746355685131195,6,0.77759266972095,0.817159516867972,11,0.5
"21","PF00130.even.uniprotID: (14/14)",0,0.330399453639984,0.152811944484711,0.667446553707123,0.694214876033058,12,0.677685950413223,0.743801652892562,13,0.5
"22","PF00130.even.uniprotID: (14/14)",1,0.369417905807495,0.208253443241119,0.550351142883301,0.760204081632653,11,0.775510204081633,0.806122448979592,9,0.5
"23","PF00130.even.uniprotID: (14/14)",2,0.367691993713379,0.282718360424042,0.519372165203094,0.801020408163265,10,0.780612244897959,0.806122448979592,8,0.5
"24","PF00130.even.uniprotID: (14/14)",3,0.298690795898438,0.24918669462204,0.638342201709747,0.755102040816327,11,0.755102040816326,0.775510204081633,12,0.5
"25","PF00130.even.uniprotID: (14/14)",4,0.397044748067856,0.349305719137192,0.663975596427917,0.622448979591837,8,0.612244897959184,0.714285714285714,9,0.5
"26","PF02196.even.uniprotID: (14/14)",0,0.492915719747543,0.420331388711929,0.693431854248047,0.504132231404959,1,0.710743801652893,0.710743801652893,20,0.5
"27","PF02196.even.uniprotID: (14/14)",1,0.312637090682983,0.0678597390651703,0.956131339073181,0.760204081632653,19,0.73469387755102,0.76530612244898,18,0.5
"28","PF02196.even.uniprotID: (14/14)",2,0.327146410942078,0.162700057029724,0.552863299846649,0.790816326530612,20,0.790816326530612,0.790816326530612,3,0.5
"29","PF02196.even.uniprotID: (14/14)",3,0.451604127883911,0.35411125421524,0.647389888763428,0.683673469387755,11,0.780612244897959,0.841836734693878,19,0.5
"30","PF02196.even.uniprotID: (14/14)",4,0.413918644189835,0.309073597192764,0.689497768878937,0.673469387755102,11,0.63265306122449,0.729591836734694,17,0.5
"31","PF07679.even.uniprotID: (14/14)",0,0.544284462928772,0.404577970504761,0.977615177631378,0.59,7,0.74,0.85,11,0.5
"32","PF07679.even.uniprotID: (14/14)",1,0.414760231971741,0.138897716999054,0.838512599468231,0.770408163265306,17,0.744897959183674,0.770408163265306,17,0.5
"33","PF07679.even.uniprotID: (14/14)",2,0.413113206624985,0.291684925556183,0.979132533073425,0.591836734693878,10,0.780612244897959,0.857142857142857,18,0.5
"34","PF07679.even.uniprotID: (14/14)",3,0.540302813053131,0.328109741210938,0.831831932067871,0.576530612244898,10,0.683673469387755,0.770408163265306,18,0.5
"35","PF07679.even.uniprotID: (14/14)",4,0.413776427507401,0.353242307901382,0.963997364044189,0.556122448979592,8,0.714285714285714,0.770408163265306,17,0.5
"36","PF00047.even.uniprotID: (10/10)",0,0.356248497962952,0.271953284740448,0.795109272003174,0.571428571428571,8,0.551020408163265,0.73469387755102,15,0.5
"37","PF00047.even.uniprotID: (10/10)",1,0.346082776784897,0.256540954113007,0.622532963752747,0.78,15,0.72,0.78,14,0.5
"38","PF00047.even.uniprotID: (10/10)",2,0.448274999856949,0.430175930261612,0.677405118942261,0.56,5,0.62,0.64,7,0.5
"39","PF00047.even.uniprotID: (10/10)",3,0.299324214458466,0.234449371695518,0.797314643859863,0.63,9,0.65,0.68,10,0.5
"40","PF00047.even.uniprotID: (10/10)",4,0.417652696371078,0.375214725732803,0.660491406917572,0.65,6,0.73,0.8,13,0.5
"41","PF00028.even.uniprotID: (10/10)",0,0.198423385620117,0.0538761056959629,0.925090551376343,0.953125,18,0.734375,0.96875,6,0.5
"42","PF00028.even.uniprotID: (10/10)",1,0.314497709274292,0.150566607713699,0.969896793365479,0.71,13,0.74,0.84,7,0.5
