"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"1","IonChannel.chps.even.uniprotID: (33/33)",0,0.752326667308807,0.749904692173004,0.640291452407837,0.685950413223141,20,0.685950413223141,0.699724517906336,9,0.5
"2","IonChannel.chps.even.uniprotID: (33/33)",1,0.769093453884125,0.74492359161377,0.635788857936859,0.68870523415978,20,0.68870523415978,0.697887970615243,13,0.5
"3","IonChannel.chps.even.uniprotID: (33/33)",2,0.804288923740387,0.731188535690308,0.659558117389679,0.680440771349862,20,0.680440771349862,0.680440771349862,20,0.5
"4","IonChannel.chps.even.uniprotID: (33/33)",3,0.749099910259247,0.74608713388443,0.647927701473236,0.67860422405877,20,0.67860422405877,0.696051423324151,12,0.5
"5","IonChannel.chps.even.uniprotID: (33/33)",4,0.750926554203033,0.732657194137573,0.629882395267487,0.696969696969697,20,0.696969696969697,0.696969696969697,20,0.5
"6","IonChannel.split.uniprotID: (192/82)",0,0.826550602912903,0.837669193744659,0.873092889785767,0.771023882113821,23,0.771023882113821,0.774771341463415,7,0.5
"7","IonChannel.split.uniprotID: (192/82)",1,0.797907650470734,0.889355957508087,0.871573150157928,0.767276422764228,18,0.765625,0.786902947154472,2,0.5
"8","IonChannel.split.uniprotID: (192/82)",2,0.842322826385498,0.876548588275909,0.861594259738922,0.766387195121951,22,0.763973577235772,0.780678353658537,8,0.5
"9","IonChannel.split.uniprotID: (192/82)",3,0.963005542755127,0.882228136062622,0.901657342910767,0.744918699186992,3,0.774707825203252,0.775279471544715,21,0.5
"10","IonChannel.split.uniprotID: (192/82)",4,0.802970230579376,0.845009684562683,0.867063403129578,0.724593495934959,23,0.724593495934959,0.73901168699187,5,0.5
"11","IonChannel: (106/71)",0,0.743825495243073,0.686691761016846,0.803552389144897,0.701035196687371,20,0.701035196687371,0.749620427881297,4,0.5
"12","IonChannel: (106/71)",1,0.733268320560455,0.728232324123383,0.738870620727539,0.717286366601435,20,0.717286366601435,0.719895629484671,18,0.5
"13","IonChannel: (106/71)",2,0.782448172569275,0.72662615776062,0.675380527973175,0.728461538461538,20,0.728461538461538,0.76474358974359,4,0.5
"14","IonChannel: (106/71)",3,0.72052276134491,0.733996033668518,0.751550257205963,0.806642463358881,20,0.806642463358881,0.829232217291919,11,0.5
"15","IonChannel: (106/71)",4,0.725121140480042,0.747670352458954,0.672834277153015,0.755128205128205,20,0.755128205128205,0.756923076923077,18,0.5
"16","PF07714.chps.even.uniprotID: (49/49)",0,0.388737738132477,0.334215223789215,0.695797681808472,0.552269887546855,24,0.598084131611828,0.600583090379009,30,0.5
"17","PF07714.chps.even.uniprotID: (49/49)",1,0.378429412841797,0.361468404531479,0.696197092533112,0.542690545605997,32,0.540191586838817,0.547271970012495,1,0.5
"18","PF07714.chps.even.uniprotID: (49/49)",2,0.355815231800079,0.341037452220917,0.694449365139008,0.5847563515202,32,0.578925447730112,0.58850478967097,24,0.5
"19","PF07714.chps.even.uniprotID: (49/49)",3,0.371943026781082,0.341589957475662,0.69675624370575,0.537692628071637,34,0.537692628071637,0.559766763848397,33,0.5
"20","PF07714.chps.even.uniprotID: (49/49)",4,0.366756170988083,0.34301632642746,0.686106145381927,0.571428571428571,28,0.570179092044981,0.571428571428571,28,0.5
"21","PF00130.chps.even.uniprotID: (14/14)",0,0.492328226566315,0.381390988826752,0.691780090332031,0.607142857142857,16,0.576530612244898,0.653061224489796,1,0.5
"22","PF00130.chps.even.uniprotID: (14/14)",1,0.492649078369141,0.395179599523544,0.691474437713623,0.663265306122449,12,0.637755102040816,0.74234693877551,2,0.5
"23","PF00130.chps.even.uniprotID: (14/14)",2,0.423989117145538,0.437220901250839,0.693090379238129,0.75765306122449,1,0.739795918367347,0.75765306122449,1,0.5
"24","PF00130.chps.even.uniprotID: (14/14)",3,0.438368499279022,0.429589956998825,0.694074153900146,0.510204081632653,13,0.576530612244898,0.576530612244898,20,0.5
"25","PF00130.chps.even.uniprotID: (14/14)",4,0.440144866704941,0.453327924013138,0.693152844905853,0.576530612244898,1,0.647959183673469,0.647959183673469,19,0.5
"26","PF02196.chps.even.uniprotID: (14/14)",0,0.399565130472183,0.419132500886917,0.695306420326233,0.653061224489796,20,0.653061224489796,0.660714285714286,1,0.5
"27","PF02196.chps.even.uniprotID: (14/14)",1,0.398775011301041,0.420952171087265,0.69334214925766,0.719387755102041,20,0.719387755102041,0.724489795918367,15,0.5
