"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"1","IonChannel.chps.even.uniprotID: (33/33)",0,0.752326667308807,0.749904692173004,0.640291452407837,0.685950413223141,20,0.685950413223141,0.699724517906336,9,0.5
"2","IonChannel.chps.even.uniprotID: (33/33)",1,0.769093453884125,0.74492359161377,0.635788857936859,0.68870523415978,20,0.68870523415978,0.697887970615243,13,0.5
"3","IonChannel.chps.even.uniprotID: (33/33)",2,0.804288923740387,0.731188535690308,0.659558117389679,0.680440771349862,20,0.680440771349862,0.680440771349862,20,0.5
"4","IonChannel.chps.even.uniprotID: (33/33)",3,0.749099910259247,0.74608713388443,0.647927701473236,0.67860422405877,20,0.67860422405877,0.696051423324151,12,0.5
"5","IonChannel.chps.even.uniprotID: (33/33)",4,0.750926554203033,0.732657194137573,0.629882395267487,0.696969696969697,20,0.696969696969697,0.696969696969697,20,0.5
"6","IonChannel.split.uniprotID: (192/82)",0,0.826550602912903,0.837669193744659,0.873092889785767,0.771023882113821,23,0.771023882113821,0.774771341463415,7,0.5
"7","IonChannel.split.uniprotID: (192/82)",1,0.797907650470734,0.889355957508087,0.871573150157928,0.767276422764228,18,0.765625,0.786902947154472,2,0.5
"8","IonChannel.split.uniprotID: (192/82)",2,0.842322826385498,0.876548588275909,0.861594259738922,0.766387195121951,22,0.763973577235772,0.780678353658537,8,0.5
"9","IonChannel.split.uniprotID: (192/82)",3,0.963005542755127,0.882228136062622,0.901657342910767,0.744918699186992,3,0.774707825203252,0.775279471544715,21,0.5
"10","IonChannel.split.uniprotID: (192/82)",4,0.802970230579376,0.845009684562683,0.867063403129578,0.724593495934959,23,0.724593495934959,0.73901168699187,5,0.5
"11","IonChannel: (106/71)",0,0.743825495243073,0.686691761016846,0.803552389144897,0.701035196687371,20,0.701035196687371,0.749620427881297,4,0.5
"12","IonChannel: (106/71)",1,0.733268320560455,0.728232324123383,0.738870620727539,0.717286366601435,20,0.717286366601435,0.719895629484671,18,0.5
"13","IonChannel: (106/71)",2,0.782448172569275,0.72662615776062,0.675380527973175,0.728461538461538,20,0.728461538461538,0.76474358974359,4,0.5
"14","IonChannel: (106/71)",3,0.72052276134491,0.733996033668518,0.751550257205963,0.806642463358881,20,0.806642463358881,0.829232217291919,11,0.5
"15","IonChannel: (106/71)",4,0.725121140480042,0.747670352458954,0.672834277153015,0.755128205128205,20,0.755128205128205,0.756923076923077,18,0.5
"16","PF07714.chps.even.uniprotID: (49/49)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","PF07714.chps.even.uniprotID: (49/49)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","PF07714.chps.even.uniprotID: (49/49)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","PF07714.chps.even.uniprotID: (49/49)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","PF07714.chps.even.uniprotID: (49/49)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","PF00130.chps.even.uniprotID: (14/14)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","PF00130.chps.even.uniprotID: (14/14)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","PF00130.chps.even.uniprotID: (14/14)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","PF00130.chps.even.uniprotID: (14/14)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","PF00130.chps.even.uniprotID: (14/14)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","PF02196.chps.even.uniprotID: (14/14)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","PF02196.chps.even.uniprotID: (14/14)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","PF02196.chps.even.uniprotID: (14/14)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","PF02196.chps.even.uniprotID: (14/14)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","PF02196.chps.even.uniprotID: (14/14)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","PF07679.chps.even.uniprotID: (14/14)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","PF07679.chps.even.uniprotID: (14/14)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","PF07679.chps.even.uniprotID: (14/14)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","PF07679.chps.even.uniprotID: (14/14)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
