"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"1","IonChannel.chps.even.uniprotID: (33/33)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","IonChannel.chps.even.uniprotID: (33/33)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","IonChannel.chps.even.uniprotID: (33/33)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","IonChannel.chps.even.uniprotID: (33/33)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","IonChannel.chps.even.uniprotID: (33/33)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","PF07714.even.uniprotID: (49/49)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","PF07714.even.uniprotID: (49/49)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","PF07714.even.uniprotID: (49/49)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","PF07714.even.uniprotID: (49/49)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","PF07714.even.uniprotID: (49/49)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","PF00130.even.uniprotID: (14/14)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","PF00130.even.uniprotID: (14/14)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","PF00130.even.uniprotID: (14/14)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","PF00130.even.uniprotID: (14/14)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","PF00130.even.uniprotID: (14/14)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","PF02196.even.uniprotID: (14/14)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","PF02196.even.uniprotID: (14/14)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","PF02196.even.uniprotID: (14/14)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","PF02196.even.uniprotID: (14/14)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","PF02196.even.uniprotID: (14/14)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","PF07679.even.uniprotID: (14/14)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","PF07679.even.uniprotID: (14/14)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","PF07679.even.uniprotID: (14/14)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","PF07679.even.uniprotID: (14/14)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","PF07679.even.uniprotID: (14/14)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","PF00047.even.uniprotID: (10/10)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","PF00047.even.uniprotID: (10/10)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","PF00047.even.uniprotID: (10/10)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","PF00047.even.uniprotID: (10/10)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","PF00047.even.uniprotID: (10/10)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","PF00028.even.uniprotID: (10/10)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","PF00028.even.uniprotID: (10/10)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","PF00028.even.uniprotID: (10/10)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","PF00028.even.uniprotID: (10/10)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","PF00028.even.uniprotID: (10/10)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","PF17756.even.uniprotID: (10/10)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","PF17756.even.uniprotID: (10/10)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","PF17756.even.uniprotID: (10/10)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","PF17756.even.uniprotID: (10/10)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","PF17756.even.uniprotID: (10/10)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","PF00520.even.uniprotID: (65/65)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","PF00520.even.uniprotID: (65/65)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","PF00520.even.uniprotID: (65/65)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","PF00520.even.uniprotID: (65/65)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","PF00520.even.uniprotID: (65/65)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","PF01007.even.uniprotID: (11/11)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","PF01007.even.uniprotID: (11/11)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","PF01007.even.uniprotID: (11/11)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","PF01007.even.uniprotID: (11/11)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","PF01007.even.uniprotID: (11/11)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","IPR000719.even.uniprotID: (33/33)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","IPR000719.even.uniprotID: (33/33)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","IPR000719.even.uniprotID: (33/33)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","IPR000719.even.uniprotID: (33/33)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
