"","Gene","variant.counts","pos.variant.counts","neg.variant.counts"
"1","A0A183",2,0,2
"2","A0AUZ9",4,0,4
"3","A0AV96",2,0,2
"4","A0AVI4",1,0,1
"5","A0AVK6",5,0,5
"6","A0AVT1",1,0,1
"7","A0FGR9",7,0,7
"8","A0JNW5",7,0,7
"9","A0MZ66",4,0,4
"10","A0PG75",2,0,2
"11","A0PJE2",4,0,4
"12","A0PJW6",2,0,2
"13","A0PJW8",5,0,5
"14","A0PJX2",2,0,2
"15","A0PJX4",2,0,2
"16","A0PJX8",5,0,5
"17","A0PJY2",2,1,1
"18","A0PJZ0",1,0,1
"19","A0PJZ3",1,0,1
"20","A0PK00",2,0,2
"21","A0PK05",2,0,2
"22","A0PK11",2,0,2
"23","A1A4G5",6,0,6
"24","A1A4S6",2,0,2
"25","A1A4V9",2,0,2
"26","A1A4Y4",2,0,2
"27","A1A5C7",5,0,5
"28","A1A5D9",7,0,7
"29","A1E959",5,0,5
"30","A1IGU5",10,0,10
"31","A1L020",1,0,1
"32","A1L0T0",8,0,8
"33","A1L157",7,0,7
"34","A1L162",1,0,1
"35","A1L188",1,1,0
"36","A1L3X0",2,0,2
"37","A1L443",1,0,1
"38","A1L453",2,0,2
"39","A1L4H1",18,0,18
"40","A1L4K1",7,0,7
"41","A1L4L8",1,0,1
"42","A1X283",6,1,5
"43","A1XBS5",1,0,1
"44","A1YPR0",4,0,4
"45","A2A288",8,0,8
"46","A2A2V5",1,0,1
"47","A2A2Y4",7,0,7
"48","A2A368",5,0,5
"49","A2A3L6",7,0,7
"50","A2CJ06",16,0,16
"51","A2IDD5",2,0,2
"52","A2PYH4",10,2,8
"53","A2RRD8",5,0,5
"54","A2RRP1",57,14,43
"55","A2RTX5",8,0,8
"56","A2RU30",7,0,7
"57","A2RU48",2,0,2
"58","A2RU49",3,0,3
"59","A2RU54",1,0,1
"60","A2RU67",5,0,5
"61","A2RUB6",7,0,7
"62","A2RUC4",2,0,2
"63","A2RUH7",1,0,1
"64","A2RUR9",3,0,3
"65","A2RUS2",9,0,9
"66","A2RUT3",1,0,1
"67","A2VCK2",1,0,1
"68","A2VDF0",1,0,1
"69","A3KFT3",6,0,6
"70","A3KMH1",13,0,13
"71","A3KN83",2,0,2
"72","A3QJZ6",2,0,2
"73","A4D0S4",37,0,37
"74","A4D0V7",12,0,12
"75","A4D126",10,4,6
"76","A4D161",5,0,5
"77","A4D1B5",3,0,3
"78","A4D1E1",13,0,13
"79","A4D1E9",3,0,3
"80","A4D1F6",4,0,4
"81","A4D1P6",3,0,3
"82","A4D1S0",8,0,8
"83","A4D1S5",4,0,4
"84","A4D1T9",6,0,6
"85","A4D2B0",1,0,1
"86","A4D2G3",5,0,5
"87","A4D2H0",3,0,3
"88","A4D2P6",5,0,5
"89","A4FU01",5,0,5
"90","A4FU28",2,0,2
"91","A4QMS7",1,0,1
"92","A5A3E0",2,0,2
"93","A5D6W6",4,0,4
"94","A5D8T8",3,0,3
"95","A5D8V6",5,0,5
"96","A5D8V7",3,0,3
"97","A5LHX3",7,0,7
"98","A5PKW4",6,0,6
"99","A5PLK6",12,0,12
"100","A5PLL1",6,0,6
"101","A5YKK6",2,1,1
"102","A6BM72",9,0,9
"103","A6H8M9",2,0,2
"104","A6H8Y1",24,0,24
"105","A6H8Z2",7,0,7
"106","A6NC51",2,0,2
"107","A6NC57",3,0,3
"108","A6NC97",4,0,4
"109","A6NC98",11,0,11
"110","A6NCE7",1,0,1
"111","A6NCF5",3,0,3
"112","A6NCI4",12,0,12
"113","A6NCI8",8,0,8
"114","A6NCL1",3,0,3
"115","A6NCL7",2,0,2
"116","A6NCS4",2,1,1
"117","A6NCV1",7,0,7
"118","A6NCW0",2,0,2
"119","A6NCW7",1,0,1
"120","A6ND01",4,0,4
"121","A6ND36",7,0,7
"122","A6ND48",3,0,3
"123","A6ND91",2,0,2
"124","A6NDA9",8,0,8
"125","A6NDB9",8,0,8
"126","A6NDD5",2,0,2
"127","A6NDH6",1,0,1
"128","A6NDI0",1,0,1
"129","A6NDL8",8,0,8
"130","A6NDN3",4,0,4
"131","A6NDP7",3,0,3
"132","A6NDV4",4,0,4
"133","A6NE01",35,0,35
"134","A6NE02",2,0,2
"135","A6NE82",1,0,1
"136","A6NED2",4,0,4
"137","A6NEK1",5,0,5
"138","A6NEL2",6,0,6
"139","A6NEQ2",1,0,1
"140","A6NET4",7,0,7
"141","A6NEV1",1,0,1
"142","A6NF83",2,0,2
"143","A6NF89",4,0,4
"144","A6NFA1",3,0,3
"145","A6NFC9",1,0,1
"146","A6NFE2",6,0,6
"147","A6NFH5",4,0,4
"148","A6NFK2",3,0,3
"149","A6NFN3",1,0,1
"150","A6NFQ7",5,0,5
"151","A6NFT4",3,0,3
"152","A6NFU8",7,0,7
"153","A6NFY4",2,0,2
"154","A6NFY7",2,2,0
"155","A6NG13",2,0,2
"156","A6NGA9",2,0,2
"157","A6NGB7",4,0,4
"158","A6NGC4",3,0,3
"159","A6NGE4",4,0,4
"160","A6NGE7",1,0,1
"161","A6NGG8",7,2,5
"162","A6NGH7",1,0,1
"163","A6NGH8",5,0,5
"164","A6NGK3",2,0,2
"165","A6NGN9",1,0,1
"166","A6NGQ2",2,0,2
"167","A6NGR9",8,0,8
"168","A6NGZ8",2,0,2
"169","A6NH00",5,0,5
"170","A6NH21",2,0,2
"171","A6NH52",4,0,4
"172","A6NH57",3,0,3
"173","A6NHG4",1,0,1
"174","A6NHG9",3,0,3
"175","A6NHJ4",20,0,20
"176","A6NHL2",9,0,9
"177","A6NHN0",7,0,7
"178","A6NHR9",24,21,3
"179","A6NHS7",7,0,7
"180","A6NHT5",2,0,2
"181","A6NHZ5",4,0,4
"182","A6NI03",1,0,1
"183","A6NI15",2,0,2
"184","A6NI28",4,0,4
"185","A6NI61",6,4,2
"186","A6NI73",4,0,4
"187","A6NI79",5,0,5
"188","A6NI87",3,0,3
"189","A6NIJ9",2,0,2
"190","A6NIM6",8,0,8
"191","A6NIR3",1,0,1
"192","A6NIV6",5,0,5
"193","A6NJ78",2,0,2
"194","A6NJB7",2,0,2
"195","A6NJG6",12,0,12
"196","A6NJI9",6,0,6
"197","A6NJL1",3,0,3
"198","A6NJW4",2,0,2
"199","A6NJZ3",3,0,3
"200","A6NK53",12,0,12
"201","A6NK58",4,3,1
"202","A6NK75",1,0,1
"203","A6NK89",1,0,1
"204","A6NKB5",27,0,27
"205","A6NKC9",2,0,2
"206","A6NKD9",1,0,1
"207","A6NKF2",3,0,3
"208","A6NKF7",2,0,2
"209","A6NKG5",2,0,2
"210","A6NKK0",2,0,2
"211","A6NKL6",2,0,2
"212","A6NKT7",4,0,4
"213","A6NL08",1,0,1
"214","A6NL26",3,0,3
"215","A6NL82",2,0,2
"216","A6NLJ0",1,0,1
"217","A6NLP5",4,0,4
"218","A6NLU0",2,0,2
"219","A6NLW8",2,0,2
"220","A6NLX3",1,0,1
"221","A6NM03",8,0,8
"222","A6NM11",1,0,1
"223","A6NM36",2,0,2
"224","A6NM76",4,0,4
"225","A6NMA1",1,0,1
"226","A6NMD0",1,0,1
"227","A6NMK7",2,0,2
"228","A6NMK8",6,0,6
"229","A6NML5",5,0,5
"230","A6NMN3",6,0,6
"231","A6NMS3",6,0,6
"232","A6NMS7",1,0,1
"233","A6NMT0",3,0,3
"234","A6NMZ2",2,0,2
"235","A6NMZ7",13,0,13
"236","A6NNA5",2,0,2
"237","A6NNB3",1,1,0
"238","A6NND4",3,0,3
"239","A6NNE9",1,0,1
"240","A6NNN8",13,5,8
"241","A6NNS2",4,0,4
"242","A6NNT2",3,0,3
"243","A6NNX1",2,0,2
"244","A6NNY8",1,1,0
"245","A6NP11",2,0,2
"246","A6NP61",2,0,2
"247","A6PVS8",8,0,8
"248","A6PVY3",4,0,4
"249","A6QL63",3,0,3
"250","A7KAX9",8,0,8
"251","A7MBM2",5,0,5
"252","A7MCY6",5,0,5
"253","A7MD48",9,0,9
"254","A7XYQ1",2,0,2
"255","A8K0Z3",2,0,2
"256","A8K855",2,0,2
"257","A8K8P3",14,0,14
"258","A8K979",9,0,9
"259","A8MPS7",1,0,1
"260","A8MPX8",5,0,5
"261","A8MQ14",8,0,8
"262","A8MQ27",1,0,1
"263","A8MT33",4,0,4
"264","A8MT65",9,0,9
"265","A8MT69",2,0,2
"266","A8MTA8",2,0,2
"267","A8MTJ3",1,0,1
"268","A8MTL0",1,0,1
"269","A8MTL9",6,0,6
"270","A8MTQ0",4,0,4
"271","A8MTT3",1,0,1
"272","A8MUL3",1,0,1
"273","A8MUP2",1,0,1
"274","A8MUV8",4,0,4
"275","A8MUX0",5,0,5
"276","A8MV23",6,0,6
"277","A8MV65",2,0,2
"278","A8MV81",1,0,1
"279","A8MVA2",1,0,1
"280","A8MVW0",3,0,3
"281","A8MVW5",2,0,2
"282","A8MW92",1,0,1
"283","A8MWY0",7,0,7
"284","A8MX34",4,0,4
"285","A8MX76",14,0,14
"286","A8MXD5",7,4,3
"287","A8MXK1",2,0,2
"288","A8MXV4",2,0,2
"289","A8MXV6",4,0,4
"290","A8MXZ3",8,0,8
"291","A8MYJ7",4,0,4
"292","A8MYP8",1,0,1
"293","A8MYU2",8,0,8
"294","A8MZ26",3,0,3
"295","A9QM74",7,0,7
"296","A9YTQ3",7,0,7
"297","B0I1T2",5,0,5
"298","B0YJ81",1,0,1
"299","B1AJZ9",17,0,17
"300","B1AK53",6,2,4
"301","B1AKI9",2,0,2
"302","B1AL88",1,0,1
"303","B1ANS9",3,0,3
"304","B2CW77",5,0,5
"305","B2RD01",2,0,2
"306","B2RTY4",15,0,15
"307","B2RU33",4,0,4
"308","B2RUZ4",2,0,2
"309","B2RXF5",2,0,2
"310","B2RXH2",9,0,9
"311","B2RXH4",2,0,2
"312","B3GLJ2",1,0,1
"313","B3KS81",14,0,14
"314","B4DS77",2,0,2
"315","B4DU55",2,0,2
"316","B4DX44",2,0,2
"317","B5MCN3",4,0,4
"318","B6A8C7",7,0,7
"319","B6SEH8",1,0,1
"320","B6SEH9",2,0,2
"321","B7U540",4,4,0
"322","B7Z1M9",2,0,2
"323","B7Z6K7",9,0,9
"324","B7ZAQ6",2,0,2
"325","B7ZBB8",2,0,2
"326","C9J302",1,0,1
"327","C9J442",1,0,1
"328","C9JCN9",2,0,2
"329","C9JDP6",3,0,3
"330","C9JE40",8,2,6
"331","C9JH25",6,0,6
"332","C9JJ37",1,0,1
"333","C9JJH3",2,0,2
"334","C9JL84",10,0,10
"335","C9JN71",9,0,9
"336","C9JQI7",6,0,6
"337","C9JR72",6,3,3
"338","C9JXX5",1,0,1
"339","D3W0D1",5,0,5
"340","D6R9N7",1,0,1
"341","D6RGH6",6,2,4
"342","E2RYF6",44,0,44
"343","E5RG02",2,0,2
"344","E7ERA6",3,0,3
"345","E7EW31",2,0,2
"346","E9PGG2",1,0,1
"347","F2Z3M2",1,0,1
"348","F5GYI3",3,0,3
"349","F5H4B4",8,0,8
"350","F8VTS6",2,0,2
"351","F8WCM5",2,1,1
"352","G9CGD6",1,0,1
"353","H3BMG3",1,0,1
"354","H3BQB6",2,0,2
"355","H3BR10",3,0,3
"356","H3BRN8",1,0,1
"357","H3BS89",2,0,2
"358","H3BU77",2,0,2
"359","I3L1E1",1,0,1
"360","I3L3R5",4,0,4
"361","O00110",1,0,1
"362","O00115",3,0,3
"363","O00116",6,6,0
"364","O00142",28,24,4
"365","O00144",1,0,1
"366","O00151",3,0,3
"367","O00155",1,0,1
"368","O00159",2,0,2
"369","O00160",5,0,5
"370","O00165",4,2,2
"371","O00167",4,0,4
"372","O00170",17,15,2
"373","O00178",1,0,1
"374","O00182",3,0,3
"375","O00186",2,0,2
"376","O00187",10,0,10
"377","O00189",1,0,1
"378","O00192",8,0,8
"379","O00203",2,1,1
"380","O00204",10,4,6
"381","O00206",6,0,6
"382","O00217",18,16,2
"383","O00219",1,0,1
"384","O00220",6,0,6
"385","O00221",4,0,4
"386","O00233",5,0,5
"387","O00241",8,0,8
"388","O00244",1,0,1
"389","O00254",8,0,8
"390","O00255",178,169,9
"391","O00257",1,0,1
"392","O00258",1,0,1
"393","O00268",1,0,1
"394","O00270",5,0,5
"395","O00273",5,0,5
"396","O00292",5,2,3
"397","O00294",29,25,4
"398","O00295",9,0,9
"399","O00300",6,3,3
"400","O00303",3,1,2
"401","O00305",2,2,0
"402","O00308",2,0,2
"403","O00311",5,0,5
"404","O00321",6,0,6
"405","O00322",5,0,5
"406","O00329",4,1,3
"407","O00330",8,3,5
"408","O00337",7,1,6
"409","O00339",18,0,18
"410","O00341",3,0,3
"411","O00358",5,5,0
"412","O00391",7,0,7
"413","O00399",1,0,1
"414","O00400",2,2,0
"415","O00408",2,0,2
"416","O00409",5,0,5
"417","O00411",8,0,8
"418","O00421",7,0,7
"419","O00443",4,0,4
"420","O00444",7,0,7
"421","O00451",2,0,2
"422","O00458",1,0,1
"423","O00459",3,3,0
"424","O00461",4,0,4
"425","O00462",11,4,7
"426","O00463",5,0,5
"427","O00470",2,0,2
"428","O00471",1,0,1
"429","O00472",6,0,6
"430","O00478",5,0,5
"431","O00481",2,0,2
"432","O00482",3,1,2
"433","O00483",1,1,0
"434","O00499",6,5,1
"435","O00506",6,0,6
"436","O00512",5,0,5
"437","O00515",5,0,5
"438","O00519",4,1,3
"439","O00522",15,13,2
"440","O00534",10,0,10
"441","O00541",6,0,6
"442","O00548",4,0,4
"443","O00562",6,0,6
"444","O00566",9,0,9
"445","O00571",21,21,0
"446","O00584",4,1,3
"447","O00587",4,0,4
"448","O00590",4,0,4
"449","O00602",2,0,2
"450","O00622",1,0,1
"451","O00623",7,5,2
"452","O00625",4,0,4
"453","O00626",1,0,1
"454","O00628",21,17,4
"455","O00634",2,0,2
"456","O00635",5,0,5
"457","O00716",3,0,3
"458","O00743",1,0,1
"459","O00744",3,3,0
"460","O00750",11,0,11
"461","O00754",55,45,10
"462","O00755",6,5,1
"463","O00757",4,0,4
"464","O00762",1,0,1
"465","O00763",17,0,17
"466","O00764",6,3,3
"467","O00767",1,0,1
"468","O14490",2,0,2
"469","O14497",7,6,1
"470","O14498",2,0,2
"471","O14513",17,0,17
"472","O14514",2,0,2
"473","O14521",41,37,4
"474","O14529",5,0,5
"475","O14530",1,0,1
"476","O14531",1,0,1
"477","O14543",1,1,0
"478","O14545",10,0,10
"479","O14548",3,0,3
"480","O14569",2,0,2
"481","O14576",2,0,2
"482","O14581",7,0,7
"483","O14593",4,2,2
"484","O14594",7,0,7
"485","O14595",1,0,1
"486","O14610",1,0,1
"487","O14613",3,0,3
"488","O14618",3,0,3
"489","O14625",1,0,1
"490","O14626",3,0,3
"491","O14627",2,0,2
"492","O14628",8,0,8
"493","O14633",4,0,4
"494","O14638",7,0,7
"495","O14641",5,0,5
"496","O14646",4,2,2
"497","O14647",24,20,4
"498","O14649",7,7,0
"499","O14654",2,0,2
"500","O14656",3,2,1
"501","O14662",2,0,2
"502","O14668",1,0,1
"503","O14669",1,0,1
"504","O14672",6,3,3
"505","O14678",10,2,8
"506","O14683",1,0,1
"507","O14686",73,42,31
"508","O14709",6,0,6
"509","O14717",3,0,3
"510","O14718",5,0,5
"511","O14727",12,5,7
"512","O14734",2,0,2
"513","O14735",1,0,1
"514","O14744",7,0,7
"515","O14745",2,1,1
"516","O14746",82,73,9
"517","O14753",1,0,1
"518","O14757",1,0,1
"519","O14763",14,0,14
"520","O14764",1,1,0
"521","O14770",2,1,1
"522","O14771",3,0,3
"523","O14773",50,48,2
"524","O14775",2,1,1
"525","O14777",1,0,1
"526","O14782",1,1,0
"527","O14788",4,1,3
"528","O14791",4,0,4
"529","O14792",2,0,2
"530","O14793",1,0,1
"531","O14795",5,0,5
"532","O14802",33,28,5
"533","O14804",6,0,6
"534","O14807",1,1,0
"535","O14813",2,1,1
"536","O14815",8,0,8
"537","O14818",1,0,1
"538","O14827",5,0,5
"539","O14828",1,0,1
"540","O14829",1,0,1
"541","O14830",4,0,4
"542","O14832",22,18,4
"543","O14836",17,12,5
"544","O14841",4,0,4
"545","O14842",3,0,3
"546","O14843",3,0,3
"547","O14862",3,0,3
"548","O14863",2,0,2
"549","O14867",10,0,10
"550","O14874",1,1,0
"551","O14879",2,0,2
"552","O14880",2,2,0
"553","O14896",133,124,9
"554","O14901",7,1,6
"555","O14905",3,0,3
"556","O14908",2,0,2
"557","O14917",1,0,1
"558","O14920",3,1,2
"559","O14921",1,0,1
"560","O14924",9,0,9
"561","O14929",2,0,2
"562","O14931",2,0,2
"563","O14939",6,0,6
"564","O14948",3,0,3
"565","O14949",1,1,0
"566","O14958",16,13,3
"567","O14960",4,0,4
"568","O14964",5,0,5
"569","O14967",5,0,5
"570","O14972",2,0,2
"571","O14974",2,0,2
"572","O14975",5,0,5
"573","O14976",5,0,5
"574","O14978",6,0,6
"575","O14979",2,2,0
"576","O14981",1,0,1
"577","O14983",1,1,0
"578","O14986",1,0,1
"579","O15014",3,0,3
"580","O15016",9,0,9
"581","O15018",48,0,48
"582","O15020",9,9,0
"583","O15031",11,0,11
"584","O15033",3,0,3
"585","O15034",8,0,8
"586","O15040",6,0,6
"587","O15041",5,1,4
"588","O15047",6,0,6
"589","O15049",3,0,3
"590","O15050",12,0,12
"591","O15055",17,1,16
"592","O15056",8,0,8
"593","O15062",5,0,5
"594","O15063",5,0,5
"595","O15066",1,0,1
"596","O15067",7,0,7
"597","O15069",8,0,8
"598","O15072",8,2,6
"599","O15078",27,11,16
"600","O15079",3,0,3
"601","O15084",4,0,4
"602","O15090",11,0,11
"603","O15091",2,0,2
"604","O15105",2,0,2
"605","O15111",2,0,2
